nombre,atc,estado,fecha_seguimiento,listado
DORZOLAMIDA + TIMOLOL SOLUCIÓN OFTÁLMICA (20 mg + 5 mg)/ ml,S01ED51,monitorizacion,2024-10-04,activo
DOXICICLINA CÁPSULA DURA Y TABLETA 100 mg,J01AA02,monitorizacion,2025-09-29,activo
DOXORRUBICINA SOLUCIÓN INYECTABLE 2 mg / ml,L01DB01,monitorizacion,2025-12-19,activo
DULOXETINA CÁPSULA DURA 30 mg y 60 mg,N06AX21,monitorizacion,2026-04-30,activo
DULOXETINA TABLETA DE LIBERACIÓN RETARDADA 60 mg,N06AX21,monitorizacion,2026-05-29,activo
DUPILUMAB SOLUCIÓN INYECTABLE 150 mg/ml y 175 mg/ml,L04AC13,monitorizacion,2026-05-29,activo
DUTASTERIDA / DUTASTERIDE CÁPSULA BLANDA 0.5 mg,G04CB02,monitorizacion,2026-05-29,activo
EFAVIRENZ + EMTRICITABINA + TENOFOVIR DISOPROXIL FUMARATO TABLETA 600 mg + 200 mg + 300 mg; 600 mg + 200 mg + 245 mg,J05AR06,monitorizacion,2025-12-19,activo
ELVITEGRAVIR + COBICISTAT + EMTRICITABINA +TENOFOVIR ALAFENAMIDA FUMARATO ALAFENAMIDA TABLETA 150 mg + 10 mg + 150 mg + 200 mg,J05AR09,monitorizacion,2026-05-29,activo
ELVITEGRAVIR + COBICISTAT + TENOFOVIR DISOPROXIL FUMARATO + EMTRICITABINA TABLETA 300 mg + 150 mg + 150 mg + 200 mg,J05AR09,monitorizacion,2026-05-29,activo
EMPAGLIFOZINA + LINAGLIPTINA TABLETA 25 mg + 5 mg y 10 mg + 5 mg,A10BD19,monitorizacion,2025-10-31,activo
EMTRICITABINA Y TENOFOVIR ALAFENAMIDA TABLETA 200 mg + 10 mg y 200 mg + 25 mg,J05AR17,monitorizacion,2026-05-29,activo
ENALAPRIL TABLETA 5 mg,C09AA02,monitorizacion,2026-04-30,activo
ENALAPRIL TABLETA 20 mg,C09AA02,riesgo,2026-04-30,activo
ENANTATO DE TESTOSTERONA SOLUCION INYECTABLE 250 mg / vial,G03BA03,monitorizacion,2025-12-31,activo
"ENOXAPARINA SÓDICA SOLUCIÓN INYECTABLE 20 mg / 0,2 ml, 40 mg / 0,4 ml, 60 mg / 0,6 ml, 80 mg / 0,8 ml y 100 mg / 10 ml",B01AB05,monitorizacion,2026-04-30,activo
EPIRRUBICINA POLVO LIOFILIZADO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE 50 mg / 25 ml (2 mg/ml),L01DB03,monitorizacion,2025-06-30,activo
EPOPROSTENOL POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE 1.5 mg,B01AC09,monitorizacion,2025-07-31,activo
ERLOTINIB TABLETA 100 mg y 150 mg,L01XE03,monitorizacion,2026-02-27,activo
ESCITALOPRAM TABLETA 15 mg,N06AB10,monitorizacion,2026-04-30,activo
ESOMEPRAZOL SODICO POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE 40 mg / vial,A02BC05,monitorizacion,2026-02-27,activo
ESOMEPRAZOL MAGNÉSICO TRIHIDRATADO EQUIVALENTE A ESOMEPRAZOL GRANULOS 10 mg y 50 mg,A02BC05,monitorizacion,2026-02-27,activo
ESOMEPRAZOL TABLETA DE LIBERACION PROLONGADA 40 mg,A02BC05,monitorizacion,2026-04-30,activo
ESOMEPRAZOL TABLETA y CAPSULAS 20 mg y 40 mg,A02BC05,monitorizacion,2026-03-31,activo
ESTRADIOL GEL TÓPICO 60 mg,G03CA03,monitorizacion,2026-05-29,activo
ESTRADIOL HEMIHIDRATO SOLUCIÓN TÓPICA (PARCHE TRANSDÉRMICO) 1.53 mg / DOSIS,G03CA03,monitorizacion,2026-05-05,activo
ESTRADIOL HEXAHIDROBENZOATO SOLUCION INYECTABLE 5 mg/ml,G03CA03,monitorizacion,2025-12-31,activo
ESZOPICLONA TABLETA 2 mg,N05CF04,monitorizacion,2026-05-29,activo
ETILEFRINA CLORHIDRATO SOLUCIÓN INYECTABLE 10 mg/ml,C01CA25,monitorizacion,2025-08-29,activo
ETOPOSIDO SOLUCION INYECTABLE 100 mg /5 ml,L01CB01,monitorizacion,2025-12-15,activo
ETORICOXIB TABLETA 120 mg,M01AH05,monitorizacion,2025-09-30,activo
ETORICOXIB TABLETA 60 mg,M01AH05,monitorizacion,2025-09-30,activo
ETORICOXIB TABLETA 30 mg,M01AH05,monitorizacion,2025-09-30,activo
EXTRACTO DE SURFACTANTE PULMONAR BOVINO SUSPENSIÓN ESTERIL INTRATRAQUEAL 105 mg /3 ml y 210 mg/6 ml,R07AA02,monitorizacion,2025-10-07,activo
EZETIMIBA TABLETA 10 mg,C10AX09,monitorizacion,2025-11-28,activo
"EZETIMIBA + SIMVASTATINA TABLETA 10 mg + 10 mg, 10 mg + 20 mg, 10 mg + 40 mg",C10BA02,monitorizacion,2025-12-18,activo
FAMPRIDINA (4‑AMINOPIRIDINA) TABLETA DE LIBERACIÓN PROLONGADA 10 mg,N07XX07,monitorizacion,2026-04-30,activo
FACTORES DE COAGULACION IX II. VII Y X EN COMBINACION POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE (14.00000 UI/ml + 9.00000 UI/ml + 20.00000 UI/ml + 18.00000 UI/ml + 13.00000 UI/ml + 12.00000 UI/ml 25.00000 UI/ml + 25.00000 UI/ml + 25.00000 UI/ml + 14.00000 UI/ml + 25.00000 UI/ml + 4.00000 UI/ml 34.00000 UI | 18.00000 UI | 25.00000 UI | 41.00000 UI | 30.00000 UI | 25.00000 UI)/vial,B02BD01,monitorizacion,2025-07-31,activo
FACTOR VIII (Plasmatico) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE 250 UI/vial,B02BD02,monitorizacion,2026-02-27,activo
FACTOR VIII (Plasmatico) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE 500 UI/vial,B02BD02,monitorizacion,2026-02-27,activo
FACTOR VIII (Plasmatico) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE 1000 UI/vial,B02BD02,monitorizacion,2026-02-27,activo
FACTOR VIII + FACTOR VON WILLEBRAND (Con proporción de Factor VIII superior a la de Factor VW) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE 500 UI/vial y 375 UI/vial,B02BD02,monitorizacion,2026-02-27,activo
FACTOR VIII + FACTOR VON WILLEBRAND (Con proporción de Factor VIII superior a la de Factor VW) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE 1000 UI/vial,B02BD02,monitorizacion,2026-02-27,activo
FACTOR VIII + FACTOR VON WILLEBRAND (Con proporción de Factor VIII superior a la de Factor VW) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE 250 UI/vial,B02BD02,monitorizacion,2026-02-27,activo
FACTOR VIII + FACTOR VON WILLEBRAND (Con proporción de Factor VW superior a la de Factor VIII) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE (1000 IU + 2400 IU)/vial,B02BD06,monitorizacion,2026-02-27,activo
